"","Year","Month","Day","Onset_time","Duration","Time_Max_Speed","Max_Speed","MJO_Phase","MJO_Mag","Event_Type","Flip2_Onset_Time","Flip2_Duration","Flip2_Time_Max_speed","Flip2_Max_Speed"
"222",2018,8,11,10.33,16.24,14,1.3,6,2.4,"Classic",9999,9999,9999,9999
"223",2018,8,12,11.16,8.12,15,1.87,6,2.29,"Classic",9999,9999,9999,9999
"224",2018,8,13,8.64,9.2,13,2.17,6,2.03,"Classic",9999,9999,9999,9999
"225",2018,8,14,8.01,9.62,14,1.65,6,1.56,"Classic",9999,9999,9999,9999
"226",2018,8,15,11.04,7.94,14,1.83,6,1.14,"Classic",9999,9999,9999,9999
"227",2018,8,16,10.26,8.53,14,2.19,6,0.98,"Classic",9999,9999,9999,9999
"228",2018,8,17,9.52,8.12,13,1.41,6,0.91,"Classic",9999,9999,9999,9999
"229",2018,8,18,12.5,10.15,17,1.73,5,0.71,"Classic",9999,9999,9999,9999
"230",2018,8,19,10.28,8.04,14,2,5,0.61,"Classic",9999,9999,9999,9999
"231",2018,8,20,10.04,6.99,13,1.71,5,0.62,"Interruption",0.69,4.28,3,0.7
"232",2018,8,21,10.5,10.47,13,1.93,5,0.6,"Classic",9999,9999,9999,9999
"233",2018,8,22,8.74,2.72,10,0.1,4,0.51,"Interruption",12.83,5.27,16,0.46
"234",2018,8,23,10.61,11.48,14,1.79,4,0.64,"Classic",9999,9999,9999,9999
"235",2018,8,24,9.72,4.82,12,0.93,4,0.6,"Interruption",16.64,3.43,18,0.28
"236",2018,8,25,9.27,8.36,14,2.3,4,0.79,"Classic",9999,9999,9999,9999
"237",2018,8,26,10.23,8.34,15,1.37,4,0.78,"Classic",9999,9999,9999,9999
"238",2018,8,27,11.09,10.19,14,1.77,4,0.52,"Interruption",1.94,2.31,3,0.24
"239",2018,8,28,11.59,10.99,14,1.77,4,0.3,"Classic",9999,9999,9999,9999
"240",2018,8,29,11.04,7.21,14,2.34,5,0.33,"Classic",9999,9999,9999,9999
"241",2018,8,30,9.44,10.3,13,1.61,5,0.63,"Classic",9999,9999,9999,9999
"242",2018,8,31,10.13,9.19,14,2.62,5,0.79,"Classic",9999,9999,9999,9999
"243",2018,9,1,10.95,8.05,15,2.45,6,0.79,"Classic",9999,9999,9999,9999
"244",2018,9,2,10.74,7.37,14,2.08,6,0.64,"Classic",9999,9999,9999,9999
"245",2018,9,3,10.45,9.58,14,1.44,7,0.31,"Classic",9999,9999,9999,9999
"246",2018,9,4,10.19,10.38,16,1.26,8,0.98,"Classic",9999,9999,9999,9999
"247",2018,9,5,10.39,7.38,14,1.46,8,1.39,"Classic",9999,9999,9999,9999
"248",2018,9,6,10.75,6.9,14,2.8,8,1.19,"Classic",9999,9999,9999,9999
"249",2018,9,7,10.71,10.45,14,1.53,8,1.18,"Classic",9999,9999,9999,9999
"250",2018,9,8,9.88,9.96,17,0.79,8,1.05,"Classic",9999,9999,9999,9999
"251",2018,9,9,8.87,10.65,16,2.31,8,1.35,"Classic",9999,9999,9999,9999
"252",2018,9,10,10.37,7.99,15,1.92,8,1.43,"Classic",9999,9999,9999,9999
"253",2018,9,11,11.07,6.66,14,2.3,8,1.31,"Classic",9999,9999,9999,9999
"254",2018,9,12,10.58,8.56,14,1.59,8,0.93,"Classic",9999,9999,9999,9999
"255",2018,9,13,10.41,9.53,15,2.4,1,0.65,"Classic",9999,9999,9999,9999
"256",2018,9,14,10.07,8.82,15,1.82,2,0.41,"Classic",9999,9999,9999,9999
"257",2018,9,15,10.28,9.93,14,1.8,3,0.44,"Classic",9999,9999,9999,9999
"258",2018,9,16,9.27,9.17,14,1.41,3,0.56,"Classic",9999,9999,9999,9999
"259",2018,9,17,9.39,8.52,14,1.89,3,0.69,"Classic",9999,9999,9999,9999
"260",2018,9,18,10.43,7.96,14,2.57,4,0.44,"Classic",9999,9999,9999,9999
"261",2018,9,19,9.83,7.16,13,1.15,5,0.37,"Classic",9999,9999,9999,9999
"262",2018,9,20,6.57,11.61,11,1.35,6,0.16,"Classic",9999,9999,9999,9999
"263",2018,9,21,9.82,11.57,14,0.93,8,0.62,"Classic",9999,9999,9999,9999
"264",2018,9,22,10.7,11.19,14,2.52,8,1.17,"Classic",9999,9999,9999,9999
"265",2018,9,23,9.54,10.37,12,1.32,8,1.55,"Classic",9999,9999,9999,9999
"266",2018,9,24,9.64,10.15,14,1.63,8,1.69,"Classic",9999,9999,9999,9999
"267",2018,9,25,9.66,9.79,13,1.64,8,1.76,"Classic",9999,9999,9999,9999
"268",2018,9,26,10.18,8.69,14,1.88,8,1.71,"Classic",9999,9999,9999,9999
"269",2018,9,27,10.01,12.1,14,1.72,8,1.73,"Classic",9999,9999,9999,9999
"270",2018,9,28,10.66,12.12,14,2.04,8,1.76,"Classic",9999,9999,9999,9999
"271",2018,9,29,10.94,6.05,14,1.22,8,1.93,"Interruption",21.38,5.45,0,0.55
"272",2018,9,30,10.5,12.42,14,1.72,8,2.04,"Classic",9999,9999,9999,9999
"273",2018,10,1,10.13,7.49,14,2.12,8,2.1,"Classic",9999,9999,9999,9999
"274",2018,10,2,9.16,8.64,13,2.47,1,2.18,"Classic",9999,9999,9999,9999
"275",2018,10,3,9.52,8.27,14,1.56,1,2.19,"Classic",9999,9999,9999,9999
"276",2018,10,4,8.93,8.73,13,1.93,1,1.95,"Classic",9999,9999,9999,9999
"277",2018,10,5,8.45,8.54,12,1.34,1,1.98,"Classic",9999,9999,9999,9999
"278",2018,10,6,8.93,9.54,14,1.94,1,2.01,"Classic",9999,9999,9999,9999
"279",2018,10,7,11.04,7.67,14,1.8,1,2.25,"Interruption",19.6,4.71,22,0.52
"280",2018,10,8,10.16,7.55,14,2.89,1,2.2,"Classic",9999,9999,9999,9999
"281",2018,10,9,12.99,6.03,16,2.74,1,2.19,"Classic",9999,9999,9999,9999
"282",2018,10,10,9.6,10.13,13,1.84,2,2.2,"Classic",9999,9999,9999,9999
"283",2018,10,11,9.52,7.02,13,1.63,2,2.22,"Classic",9999,9999,9999,9999
"284",2018,10,12,8.21,11.63,14,1.6,2,2.11,"Interruption",21.17,3.92,23,0.19
"285",2018,10,13,10.36,7.2,14,2.39,2,1.77,"Classic",9999,9999,9999,9999
"286",2018,10,14,10.04,6.84,13,1.75,2,1.53,"Interruption",0.2,6.76,4,0.54
"287",2018,10,15,11.25,8.89,14,1.47,2,1.14,"Classic",9999,9999,9999,9999
"288",2018,10,16,9.55,8.62,13,2.59,2,1.02,"Classic",9999,9999,9999,9999
